Image,Age,Historical Notes
artifact_dataset/augmented_images\457680_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457680_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457681_aug1.jpg,763.0,758–68
artifact_dataset/augmented_images\457681_aug2.jpg,763.0,758–68
artifact_dataset/augmented_images\457681_aug3.jpg,763.0,758–68
artifact_dataset/augmented_images\457681_aug4.jpg,763.0,758–68
artifact_dataset/augmented_images\457681_aug5.jpg,763.0,758–68
artifact_dataset/augmented_images\457685_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457685_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457685_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457685_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457685_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457699_aug1.jpg,1287.0,probably late 13th century
artifact_dataset/augmented_images\457699_aug2.jpg,1287.0,probably late 13th century
artifact_dataset/augmented_images\457699_aug3.jpg,1287.0,probably late 13th century
artifact_dataset/augmented_images\457699_aug4.jpg,1287.0,probably late 13th century
artifact_dataset/augmented_images\457699_aug5.jpg,1287.0,probably late 13th century
artifact_dataset/augmented_images\457675_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457675_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457675_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457675_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457675_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457670_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457670_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457670_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457670_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457670_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457676_aug1.jpg,1099.5,11th–12th century
artifact_dataset/augmented_images\457676_aug2.jpg,1099.5,11th–12th century
artifact_dataset/augmented_images\457676_aug3.jpg,1099.5,11th–12th century
artifact_dataset/augmented_images\457676_aug4.jpg,1099.5,11th–12th century
artifact_dataset/augmented_images\457676_aug5.jpg,1099.5,11th–12th century
artifact_dataset/augmented_images\457683_aug1.jpg,763.0,probably 758–68
artifact_dataset/augmented_images\457683_aug2.jpg,763.0,probably 758–68
artifact_dataset/augmented_images\457683_aug3.jpg,763.0,probably 758–68
artifact_dataset/augmented_images\457683_aug4.jpg,763.0,probably 758–68
artifact_dataset/augmented_images\457683_aug5.jpg,763.0,probably 758–68
artifact_dataset/augmented_images\457708_aug1.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457708_aug2.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457708_aug3.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457708_aug4.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457708_aug5.jpg,949.5,9th–11th century
artifact_dataset/augmented_images\457703_aug1.jpg,763.0,758–68
artifact_dataset/augmented_images\457703_aug2.jpg,763.0,758–68
artifact_dataset/augmented_images\457703_aug3.jpg,763.0,758–68
artifact_dataset/augmented_images\457703_aug4.jpg,763.0,758–68
artifact_dataset/augmented_images\457703_aug5.jpg,763.0,758–68
artifact_dataset/augmented_images\457455_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457455_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457455_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457455_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457455_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457443_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457443_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457443_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457443_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457443_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457469_aug1.jpg,912.0,819–1005
artifact_dataset/augmented_images\457469_aug2.jpg,912.0,819–1005
artifact_dataset/augmented_images\457469_aug3.jpg,912.0,819–1005
artifact_dataset/augmented_images\457469_aug4.jpg,912.0,819–1005
artifact_dataset/augmented_images\457469_aug5.jpg,912.0,819–1005
artifact_dataset/augmented_images\457464_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457464_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457464_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457464_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457464_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457452_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457452_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457452_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457452_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457452_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457429_aug1.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457429_aug2.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457429_aug3.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457429_aug4.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457429_aug5.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457430_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457430_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457430_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457430_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457430_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457440_aug1.jpg,763.0,758–68
artifact_dataset/augmented_images\457440_aug2.jpg,763.0,758–68
artifact_dataset/augmented_images\457440_aug3.jpg,763.0,758–68
artifact_dataset/augmented_images\457440_aug4.jpg,763.0,758–68
artifact_dataset/augmented_images\457440_aug5.jpg,763.0,758–68
artifact_dataset/augmented_images\457441_aug1.jpg,765.5,776–85
artifact_dataset/augmented_images\457441_aug2.jpg,765.5,776–85
artifact_dataset/augmented_images\457441_aug3.jpg,765.5,776–85
artifact_dataset/augmented_images\457441_aug4.jpg,765.5,776–85
artifact_dataset/augmented_images\457441_aug5.jpg,765.5,776–85
artifact_dataset/augmented_images\457428_aug1.jpg,609.0,probably 590–628
artifact_dataset/augmented_images\457428_aug2.jpg,609.0,probably 590–628
artifact_dataset/augmented_images\457428_aug3.jpg,609.0,probably 590–628
artifact_dataset/augmented_images\457428_aug4.jpg,609.0,probably 590–628
artifact_dataset/augmented_images\457428_aug5.jpg,609.0,probably 590–628
artifact_dataset/augmented_images\457446_aug1.jpg,849.5,9th century
artifact_dataset/augmented_images\457446_aug2.jpg,849.5,9th century
artifact_dataset/augmented_images\457446_aug3.jpg,849.5,9th century
artifact_dataset/augmented_images\457446_aug4.jpg,849.5,9th century
artifact_dataset/augmented_images\457446_aug5.jpg,849.5,9th century
artifact_dataset/augmented_images\457448_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457448_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457448_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457448_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457448_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457438_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457438_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457438_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457438_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457438_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457424_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457424_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457424_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457424_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457424_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457449_aug1.jpg,749.5,probably 8th century
artifact_dataset/augmented_images\457449_aug2.jpg,749.5,probably 8th century
artifact_dataset/augmented_images\457449_aug3.jpg,749.5,probably 8th century
artifact_dataset/augmented_images\457449_aug4.jpg,749.5,probably 8th century
artifact_dataset/augmented_images\457449_aug5.jpg,749.5,probably 8th century
artifact_dataset/augmented_images\457434_aug1.jpg,771.0,770–72
artifact_dataset/augmented_images\457434_aug2.jpg,771.0,770–72
artifact_dataset/augmented_images\457434_aug3.jpg,771.0,770–72
artifact_dataset/augmented_images\457434_aug4.jpg,771.0,770–72
artifact_dataset/augmented_images\457434_aug5.jpg,771.0,770–72
artifact_dataset/augmented_images\457447_aug1.jpg,790.0,ca. 790
artifact_dataset/augmented_images\457447_aug2.jpg,790.0,ca. 790
artifact_dataset/augmented_images\457447_aug3.jpg,790.0,ca. 790
artifact_dataset/augmented_images\457447_aug4.jpg,790.0,ca. 790
artifact_dataset/augmented_images\457447_aug5.jpg,790.0,ca. 790
artifact_dataset/augmented_images\457489_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457489_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457489_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457489_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457489_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457516_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457516_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457516_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457516_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457516_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457484_aug1.jpg,797.0,786–808
artifact_dataset/augmented_images\457484_aug2.jpg,797.0,786–808
artifact_dataset/augmented_images\457484_aug3.jpg,797.0,786–808
artifact_dataset/augmented_images\457484_aug4.jpg,797.0,786–808
artifact_dataset/augmented_images\457484_aug5.jpg,797.0,786–808
artifact_dataset/augmented_images\457485_aug1.jpg,771.0,767–75
artifact_dataset/augmented_images\457485_aug2.jpg,771.0,767–75
artifact_dataset/augmented_images\457485_aug3.jpg,771.0,767–75
artifact_dataset/augmented_images\457485_aug4.jpg,771.0,767–75
artifact_dataset/augmented_images\457485_aug5.jpg,771.0,767–75
artifact_dataset/augmented_images\457506_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457506_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457506_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457506_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457506_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457507_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457507_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457507_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457507_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457507_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457494_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457494_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457494_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457494_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457494_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457482_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457482_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457482_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457482_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457482_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457525_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457525_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457525_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457525_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457525_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457529_aug1.jpg,766.0,718–814
artifact_dataset/augmented_images\457529_aug2.jpg,766.0,718–814
artifact_dataset/augmented_images\457529_aug3.jpg,766.0,718–814
artifact_dataset/augmented_images\457529_aug4.jpg,766.0,718–814
artifact_dataset/augmented_images\457529_aug5.jpg,766.0,718–814
artifact_dataset/augmented_images\457514_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457514_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457514_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457514_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457514_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457487_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457487_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457487_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457487_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457487_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457501_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457501_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457501_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457501_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457501_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457520_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457520_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457520_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457520_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457520_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457481_aug1.jpg,1149.5,probably 12th century
artifact_dataset/augmented_images\457481_aug2.jpg,1149.5,probably 12th century
artifact_dataset/augmented_images\457481_aug3.jpg,1149.5,probably 12th century
artifact_dataset/augmented_images\457481_aug4.jpg,1149.5,probably 12th century
artifact_dataset/augmented_images\457481_aug5.jpg,1149.5,probably 12th century
artifact_dataset/augmented_images\457523_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457523_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457523_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457523_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457523_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457490_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457490_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457490_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457490_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457490_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457475_aug1.jpg,800.0,786–814
artifact_dataset/augmented_images\457475_aug2.jpg,800.0,786–814
artifact_dataset/augmented_images\457475_aug3.jpg,800.0,786–814
artifact_dataset/augmented_images\457475_aug4.jpg,800.0,786–814
artifact_dataset/augmented_images\457475_aug5.jpg,800.0,786–814
artifact_dataset/augmented_images\457500_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457500_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457500_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457500_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457500_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457548_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457548_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457548_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457548_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457548_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457542_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457542_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457542_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457542_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457542_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457554_aug1.jpg,749.5,8th century
artifact_dataset/augmented_images\457554_aug2.jpg,749.5,8th century
artifact_dataset/augmented_images\457554_aug3.jpg,749.5,8th century
artifact_dataset/augmented_images\457554_aug4.jpg,749.5,8th century
artifact_dataset/augmented_images\457554_aug5.jpg,749.5,8th century
artifact_dataset/augmented_images\457530_aug1.jpg,766.0,718–814
artifact_dataset/augmented_images\457530_aug2.jpg,766.0,718–814
artifact_dataset/augmented_images\457530_aug3.jpg,766.0,718–814
artifact_dataset/augmented_images\457530_aug4.jpg,766.0,718–814
artifact_dataset/augmented_images\457530_aug5.jpg,766.0,718–814
artifact_dataset/augmented_images\457531_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457531_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457531_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457531_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457531_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457540_aug1.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457540_aug2.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457540_aug3.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457540_aug4.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457540_aug5.jpg,799.5,probably 8th–9th century
artifact_dataset/augmented_images\457543_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457543_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457543_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457543_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457543_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457546_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457546_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457546_aug3.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457546_aug4.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457546_aug5.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457536_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457536_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457536_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457536_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457536_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457558_aug1.jpg,812.5,early 9th century
artifact_dataset/augmented_images\457558_aug2.jpg,812.5,early 9th century
artifact_dataset/augmented_images\457558_aug3.jpg,812.5,early 9th century
artifact_dataset/augmented_images\457558_aug4.jpg,812.5,early 9th century
artifact_dataset/augmented_images\457558_aug5.jpg,812.5,early 9th century
artifact_dataset/augmented_images\457553_aug1.jpg,815.0,ca. 815
artifact_dataset/augmented_images\457553_aug2.jpg,815.0,ca. 815
artifact_dataset/augmented_images\457553_aug3.jpg,815.0,ca. 815
artifact_dataset/augmented_images\457553_aug4.jpg,815.0,ca. 815
artifact_dataset/augmented_images\457553_aug5.jpg,815.0,ca. 815
artifact_dataset/augmented_images\457533_aug1.jpg,749.5,8th century
artifact_dataset/augmented_images\457533_aug2.jpg,749.5,8th century
artifact_dataset/augmented_images\457533_aug3.jpg,749.5,8th century
artifact_dataset/augmented_images\457533_aug4.jpg,749.5,8th century
artifact_dataset/augmented_images\457533_aug5.jpg,749.5,8th century
artifact_dataset/augmented_images\457571_aug1.jpg,749.5,8th century
artifact_dataset/augmented_images\457571_aug2.jpg,749.5,8th century
artifact_dataset/augmented_images\457571_aug3.jpg,749.5,8th century
artifact_dataset/augmented_images\457571_aug4.jpg,749.5,8th century
artifact_dataset/augmented_images\457571_aug5.jpg,749.5,8th century
artifact_dataset/augmented_images\457532_aug1.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457532_aug2.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457532_aug3.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457532_aug4.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457532_aug5.jpg,899.5,5th–14th century
artifact_dataset/augmented_images\457539_aug1.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457539_aug2.jpg,799.5,8th–9th century
artifact_dataset/augmented_images\457539_aug3.jpg,799.5,8th–9th century
