ArtifactType,Name,Age,Image,Object ID,Description,Period,Dynasty,Object Date,Culture
coin,Coin,700-899 AD,artifact_dataset/images/coin/457464.jpg,457464,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457452.jpg,457452,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457429.jpg,457429,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457430.jpg,457430,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457440.jpg,457440,unknown,unknown,unknown,75868,unknown
coin,Coin,721-810 AD,artifact_dataset/images/coin/457441.jpg,457441,unknown,unknown,unknown,77685,unknown
coin,Coin,565-653 AD,artifact_dataset/images/coin/457428.jpg,457428,unknown,unknown,unknown,probably 590628,unknown
coin,Coin,800-899 AD,artifact_dataset/images/coin/457446.jpg,457446,unknown,unknown,unknown,9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457448.jpg,457448,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457438.jpg,457438,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457424.jpg,457424,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457449.jpg,457449,unknown,unknown,unknown,probably 8th century,unknown
coin,Coin,745-797 AD,artifact_dataset/images/coin/457434.jpg,457434,unknown,unknown,unknown,77072,unknown
coin,Coin,765-815 AD,artifact_dataset/images/coin/457447.jpg,457447,unknown,unknown,unknown,ca. 790,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457489.jpg,457489,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457516.jpg,457516,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,761-833 AD,artifact_dataset/images/coin/457484.jpg,457484,unknown,unknown,unknown,786808,unknown
coin,Coin,742-800 AD,artifact_dataset/images/coin/457485.jpg,457485,unknown,unknown,unknown,76775,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457506.jpg,457506,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457507.jpg,457507,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457494.jpg,457494,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457482.jpg,457482,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457525.jpg,457525,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,693-839 AD,artifact_dataset/images/coin/457529.jpg,457529,unknown,unknown,unknown,718814,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457514.jpg,457514,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457487.jpg,457487,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457501.jpg,457501,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457520.jpg,457520,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,1100-1199 AD,artifact_dataset/images/coin/457481.jpg,457481,unknown,unknown,unknown,probably 12th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457523.jpg,457523,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457490.jpg,457490,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,761-839 AD,artifact_dataset/images/coin/457475.jpg,457475,unknown,unknown,unknown,786814,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457500.jpg,457500,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457548.jpg,457548,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457542.jpg,457542,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457554.jpg,457554,unknown,unknown,unknown,8th century,unknown
coin,Coin,693-839 AD,artifact_dataset/images/coin/457530.jpg,457530,unknown,unknown,unknown,718814,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457531.jpg,457531,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457540.jpg,457540,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457543.jpg,457543,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457546.jpg,457546,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457536.jpg,457536,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,800-825 AD,artifact_dataset/images/coin/457558.jpg,457558,unknown,unknown,unknown,early 9th century,unknown
coin,Coin,790-840 AD,artifact_dataset/images/coin/457553.jpg,457553,unknown,unknown,unknown,ca. 815,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457533.jpg,457533,unknown,unknown,unknown,8th century,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457571.jpg,457571,unknown,unknown,unknown,8th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457532.jpg,457532,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457539.jpg,457539,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,733-783 AD,artifact_dataset/images/coin/457545.jpg,457545,unknown,unknown,unknown,75868,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457567.jpg,457567,unknown,unknown,unknown,75868,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457535.jpg,457535,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457572.jpg,457572,unknown,unknown,unknown,8th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457350.jpg,457350,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457415.jpg,457415,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,1172-1244 AD,artifact_dataset/images/coin/457398.jpg,457398,unknown,unknown,unknown,11971219,unknown
coin,Coin,144-810 AD,artifact_dataset/images/coin/457405.jpg,457405,unknown,unknown,unknown,probably 169785,unknown
coin,Coin,1100-1199 AD,artifact_dataset/images/coin/457418.jpg,457418,unknown,unknown,unknown,probably 12th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457412.jpg,457412,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457409.jpg,457409,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457417.jpg,457417,unknown,unknown,unknown,75868,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457419.jpg,457419,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457403.jpg,457403,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457421.jpg,457421,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,1200-1299 AD,artifact_dataset/images/coin/457400.jpg,457400,unknown,unknown,unknown,late 13th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457406.jpg,457406,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457677.jpg,457677,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,725-775 AD,artifact_dataset/images/coin/457408.jpg,457408,unknown,unknown,unknown,before 750,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457470.jpg,457470,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457476.jpg,457476,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457513.jpg,457513,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457515.jpg,457515,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,794-844 AD,artifact_dataset/images/coin/457666.jpg,457666,unknown,unknown,unknown,204 ah/819 ce,unknown
coin,Coin,712-762 AD,artifact_dataset/images/coin/457538.jpg,457538,unknown,unknown,unknown,120 ah/737 ce,unknown
coin,Coin,1035-1095 AD,artifact_dataset/images/coin/444862.jpg,444862,unknown,unknown,unknown,dated 452 ah/106061 ce,unknown
coin,Coin,948-999 AD,artifact_dataset/images/coin/444955.jpg,444955,unknown,unknown,unknown,dated 363 ah/97374 ce,unknown
coin,Coin,1192-1242 AD,artifact_dataset/images/coin/453436.jpg,453436,unknown,unknown,unknown,dated 614 ah/1217 ce,unknown
coin,Coin,1100-1299 AD,artifact_dataset/images/coin/453446.jpg,453446,unknown,unknown,unknown,12th13th century,unknown
coin,Coin,1409-1459 AD,artifact_dataset/images/coin/453440.jpg,453440,unknown,unknown,unknown,dated 838 ah/1434 ce,unknown
coin,Coin,745-795 AD,artifact_dataset/images/coin/457566.jpg,457566,unknown,unknown,unknown,770,unknown
coin,Coin,772-822 AD,artifact_dataset/images/coin/457549.jpg,457549,unknown,unknown,unknown,797,unknown
coin,Coin,725-750 AD,artifact_dataset/images/coin/457653.jpg,457653,unknown,unknown,unknown,uncertain,unknown
coin,Coin,1294-1344 AD,artifact_dataset/images/coin/454765.jpg,454765,unknown,unknown,unknown,dated 719 ah/1319 ce,unknown
coin,Coin,1300-1399 AD,artifact_dataset/images/coin/457351.jpg,457351,unknown,unknown,unknown,14th century,unknown
coin,Coin,1300-1399 AD,artifact_dataset/images/coin/457705.jpg,457705,unknown,unknown,unknown,probably 14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457706.jpg,457706,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457091.jpg,457091,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457089.jpg,457089,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457096.jpg,457096,unknown,unknown,unknown,75868,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457098.jpg,457098,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457097.jpg,457097,unknown,unknown,unknown,75868,unknown
coin,Coin,761-833 AD,artifact_dataset/images/coin/457456.jpg,457456,unknown,unknown,unknown,786808,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457435.jpg,457435,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457454.jpg,457454,unknown,unknown,unknown,8th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457465.jpg,457465,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457473.jpg,457473,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457460.jpg,457460,unknown,unknown,unknown,probably 8th9th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457458.jpg,457458,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457472.jpg,457472,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457524.jpg,457524,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457499.jpg,457499,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,1206-1360 AD,artifact_dataset/images/coin/457349.jpg,457349,unknown,unknown,unknown,12561335,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457090.jpg,457090,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,733-793 AD,artifact_dataset/images/coin/457095.jpg,457095,unknown,unknown,unknown,75868,unknown
coin,Coin,761-833 AD,artifact_dataset/images/coin/457425.jpg,457425,unknown,unknown,unknown,786808,unknown
coin,Coin,1100-1399 AD,artifact_dataset/images/coin/457496.jpg,457496,unknown,unknown,unknown,probably 12th14th century,unknown
coin,Coin,1100-1199 AD,artifact_dataset/images/coin/457086.jpg,457086,unknown,unknown,unknown,12th century,unknown
coin,Coin,723-793 AD,artifact_dataset/images/coin/457082.jpg,457082,unknown,unknown,unknown,75868,unknown
coin,Coin,1100-1199 AD,artifact_dataset/images/coin/457085.jpg,457085,unknown,unknown,unknown,12th century,unknown
coin,Coin,700-899 AD,artifact_dataset/images/coin/457093.jpg,457093,unknown,unknown,unknown,8th9th century,unknown
coin,Coin,1292-1342 AD,artifact_dataset/images/coin/457078.jpg,457078,unknown,unknown,unknown,dated 717 ah/1317 ce,unknown
coin,Coin,775-825 AD,artifact_dataset/images/coin/457512.jpg,457512,unknown,unknown,unknown,184 ah/800 ce,unknown
coin,Coin,1100-1199 AD,artifact_dataset/images/coin/453433.jpg,453433,unknown,unknown,unknown,12th century,unknown
coin,Coin,700-825 AD,artifact_dataset/images/coin/457557.jpg,457557,unknown,unknown,unknown,8thearly 9th century,unknown
coin,Coin,1291-1360 AD,artifact_dataset/images/coin/457517.jpg,457517,unknown,unknown,unknown,71636 ah/131635 ce,unknown
coin,Coin,761-818 AD,artifact_dataset/images/coin/457541.jpg,457541,unknown,unknown,unknown,170177 ah/78693 ce,unknown
coin,Coin,1075-1225 AD,artifact_dataset/images/coin/457416.jpg,457416,unknown,unknown,unknown,late 11thearly 13th century,unknown
coin,Coin,682-733 AD,artifact_dataset/images/coin/444957.jpg,444957,unknown,unknown,unknown,dated 89 ah/7078 ce,unknown
coin,Coin,1160-1210 AD,artifact_dataset/images/coin/453434.jpg,453434,unknown,unknown,unknown,dated 581 ah/1185 ce,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457221.jpg,457221,unknown,unknown,unknown,97782,unknown
coin,Coin,186-266 AD,artifact_dataset/images/coin/457367.jpg,457367,unknown,unknown,unknown,211241,unknown
coin,Coin,945-1022 AD,artifact_dataset/images/coin/457251.jpg,457251,unknown,unknown,unknown,97097,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457119.jpg,457119,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457126.jpg,457126,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457155.jpg,457155,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,954-1004 AD,artifact_dataset/images/coin/457235.jpg,457235,unknown,unknown,unknown,dated 369 ah/979 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457197.jpg,457197,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,959-1009 AD,artifact_dataset/images/coin/457181.jpg,457181,unknown,unknown,unknown,dated 374 ah/984 ce,unknown
coin,Coin,958-1022 AD,artifact_dataset/images/coin/457229.jpg,457229,unknown,unknown,unknown,98397,unknown
coin,Coin,958-1008 AD,artifact_dataset/images/coin/457175.jpg,457175,unknown,unknown,unknown,dated 373 ah/983 ce,unknown
coin,Coin,930-980 AD,artifact_dataset/images/coin/457160.jpg,457160,unknown,unknown,unknown,dated 344 ah/955 ce,unknown
coin,Coin,955-1014 AD,artifact_dataset/images/coin/457230.jpg,457230,unknown,unknown,unknown,dated 37 ah?/98 ce ?,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457176.jpg,457176,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,942-1003 AD,artifact_dataset/images/coin/457130.jpg,457130,unknown,unknown,unknown,96778,unknown
coin,Coin,924-1001 AD,artifact_dataset/images/coin/457189.jpg,457189,unknown,unknown,unknown,94976,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457171.jpg,457171,unknown,unknown,unknown,97782,unknown
coin,Coin,951-1008 AD,artifact_dataset/images/coin/457173.jpg,457173,unknown,unknown,unknown,97683,unknown
coin,Coin,942-1003 AD,artifact_dataset/images/coin/457174.jpg,457174,unknown,unknown,unknown,96778,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457179.jpg,457179,unknown,unknown,unknown,97782,unknown
coin,Coin,951-1008 AD,artifact_dataset/images/coin/457239.jpg,457239,unknown,unknown,unknown,97683,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457228.jpg,457228,unknown,unknown,unknown,97782,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457212.jpg,457212,unknown,unknown,unknown,97782,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457238.jpg,457238,unknown,unknown,unknown,97782,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457224.jpg,457224,unknown,unknown,unknown,97782,unknown
coin,Coin,900-999 AD,artifact_dataset/images/coin/457219.jpg,457219,unknown,unknown,unknown,10th century,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457231.jpg,457231,unknown,unknown,unknown,97782,unknown
coin,Coin,1200-1399 AD,artifact_dataset/images/coin/457357.jpg,457357,unknown,unknown,unknown,probably 13th14th century,unknown
coin,Coin,951-1022 AD,artifact_dataset/images/coin/457245.jpg,457245,unknown,unknown,unknown,97697,unknown
coin,Coin,700-799 AD,artifact_dataset/images/coin/457382.jpg,457382,unknown,unknown,unknown,probably 8th century,unknown
coin,Coin,400-1399 AD,artifact_dataset/images/coin/457381.jpg,457381,unknown,unknown,unknown,5th14th century,unknown
coin,Coin,952-1007 AD,artifact_dataset/images/coin/457246.jpg,457246,unknown,unknown,unknown,97782,unknown
coin,Coin,1200-1399 AD,artifact_dataset/images/coin/457356.jpg,457356,unknown,unknown,unknown,probably 13th14th century,unknown
coin,Coin,969-1019 AD,artifact_dataset/images/coin/457120.jpg,457120,unknown,unknown,unknown,dated 374 ah/894 ce,unknown
coin,Coin,951-1022 AD,artifact_dataset/images/coin/457108.jpg,457108,unknown,unknown,unknown,3 ah?/9 ce ?,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457114.jpg,457114,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,955-1005 AD,artifact_dataset/images/coin/457109.jpg,457109,unknown,unknown,unknown,dated 370 ah/980 ce,unknown
coin,Coin,955-1014 AD,artifact_dataset/images/coin/457110.jpg,457110,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,957-1007 AD,artifact_dataset/images/coin/457118.jpg,457118,unknown,unknown,unknown,dated 372 ah?/982 ce ?,unknown
coin,Coin,920-970 AD,artifact_dataset/images/coin/457111.jpg,457111,unknown,unknown,unknown,dated 334 ah/945 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457113.jpg,457113,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,955-1014 AD,artifact_dataset/images/coin/457117.jpg,457117,unknown,unknown,unknown,dated 37 ah?/98 ce ?,unknown
coin,Coin,959-1009 AD,artifact_dataset/images/coin/457121.jpg,457121,unknown,unknown,unknown,dated 374 ah/984 ce,unknown
coin,Coin,1027-1077 AD,artifact_dataset/images/coin/457123.jpg,457123,unknown,unknown,unknown,dated 37 ah?/98 ce ?,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457147.jpg,457147,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457129.jpg,457129,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457135.jpg,457135,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457162.jpg,457162,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457127.jpg,457127,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457151.jpg,457151,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457128.jpg,457128,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,375-985 AD,artifact_dataset/images/coin/457161.jpg,457161,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457157.jpg,457157,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457146.jpg,457146,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457167.jpg,457167,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,956-1006 AD,artifact_dataset/images/coin/457149.jpg,457149,unknown,unknown,unknown,dated 365 ah/975 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457154.jpg,457154,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457159.jpg,457159,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457137.jpg,457137,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457156.jpg,457156,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457169.jpg,457169,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,951-1004 AD,artifact_dataset/images/coin/457170.jpg,457170,unknown,unknown,unknown,dated 37 ah?/98 ce ?,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457148.jpg,457148,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457166.jpg,457166,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457142.jpg,457142,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457138.jpg,457138,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457153.jpg,457153,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457141.jpg,457141,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,960-1010 AD,artifact_dataset/images/coin/457122.jpg,457122,unknown,unknown,unknown,dated 375 ah/985 ce,unknown
coin,Coin,940-990 AD,artifact_dataset/images/coin/457124.jpg,457124,unknown,unknown,unknown,dated 354 ah/965 ce,unknown
coin,Coin,959-1009 AD,artifact_dataset/images/coin/457150.jpg,457150,unknown,unknown,unknown,dated 374 ah/984 ce,unknown
coin,Coin,959-1009 AD,artifact_dataset/images/coin/457134.jpg,457134,unknown,unknown,unknown,dated 374 ah?/984 ce ?,unknown
coin,Coin,962-1012 AD,artifact_dataset/images/coin/457165.jpg,457165,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,961-1011 AD,artifact_dataset/images/coin/457168.jpg,457168,unknown,unknown,unknown,dated 376 ah/986  ce,unknown
coin,Coin,951-1022 AD,artifact_dataset/images/coin/457145.jpg,457145,unknown,unknown,unknown,dated 377 ah/987 ce,unknown
coin,Coin,949-999 AD,artifact_dataset/images/coin/457139.jpg,457139,unknown,unknown,unknown,dated 363 ah/974 ce,unknown
coin,Coin,959-1009 AD,artifact_dataset/images/coin/457163.jpg,457163,unknown,unknown,unknown,dated 374 ah/984 ce,unknown
